"KN294146v1","40842","41149","chrX","92040919","92041235","24","92000077"
"KN294147v1","129023","129331","chr15","17906782","17907086","18","17777759"
"KN294147v1","165388","165669","chr15","17950053","17950334","8","17784665"
"KN294147v1","165717","165734","chr5","34457141","34457161","4","34291424"
"KN294147v1","261658","261954","chr16","2210156","2210449","44","1948498"
"KN294147v1","309305","309583","chr15","18089659","18089936","9","17780354"
"KN294147v1","599854","600162","chr15","18375367","18375660","26","17775513"
"KN294147v1","824073","824350","chr20","45677781","45678059","27","44853708"
"KN294147v1","997686","997932","chr14","32950644","32950892","37","31952958"
"KN294147v1","1038513","1038822","chr15","18798232","18798532","16","17759719"
"KN294147v1","1122477","1122784","chr15","18881965","18882273","19","17759488"
"KN294147v1","1165393","1165699","chr15","18924947","18925226","38","17759554"
"KN294147v1","1179824","1180140","chr15","18938314","18938609","32","17758490"
"KN294147v1","1185154","1185461","chr15","18943829","18944122","24","17758675"
"KN294147v1","1187675","1187972","chr15","18946356","18946653","15","17758681"
"KN294147v1","1240186","1240448","chr11","124886323","124886586","50","123646137"
"KN294147v1","1272431","1272730","chr15","19027186","19027487","23","17754755"
"KN294147v1","1273268","1273540","chr15","19028028","19028298","11","17754760"
"KN294147v1","1428261","1428566","chr15","19168692","19168987","26","17740431"
"KN294147v1","1470765","1471058","chr19","12513253","12513546","39","11042488"
"KN294147v1","1478679","1478985","chr9","93413442","93413752","21","91934763"
"KN294147v1","1504544","1504806","chr11","33039867","33040128","40","31535323"
"KN294147v1","1506544","1506831","chr15","19238861","19239148","14","17732317"
"KN294147v1","1512530","1512810","chr15","19244315","19244595","21","17731785"
"KN294147v1","1645091","1645398","chr15","19381918","19382228","14","17736827"
"KN294147v1","1647199","1647506","chr15","19384023","19384328","19","17736824"
"KN294147v1","1734976","1735283","chr15","19472388","19472688","20","17737412"
"KN294147v1","1735865","1736123","chr15","19473274","19473529","11","17737409"
"KN294147v1","1830062","1830351","chr20","96433629","96433914","33","94603567"
"KN294147v1","1980414","1980698","chr20","103989771","103990053","34","102009357"
"KN294148v1","12240","12551","chr19","23540260","23540564","44","23528020"
"KN294148v1","29108","29398","chr5","60533562","60533853","42","60504454"
"KN294152v1","107555","107853","chr1","82167680","82167989","27","82060125"
"KN294158v1","256432","256739","chr16","28648892","28649201","27","28392460"
"KN294158v1","368199","368506","chr14","914181","914473","55","545982"
"KN294158v1","558908","559191","chr13","12618470","12618752","42","12059562"
"KN294158v1","629681","629939","chr1","57724853","57725111","18","57095172"
"KN294161v1","120628","120767","chr1","99312040","99312180","23","99191412"
"KN294161v1","121072","121224","chr12","107411506","107411657","24","107290434"
"KN294161v1","203660","203967","chr7","24888057","24888362","21","24684397"
"KN294161v1","362737","363043","chr7","25047857","25048160","17","24685120"
"KN294161v1","467758","468048","chr4","71117055","71117356","43","70649297"
"KN294161v1","594209","594481","chr7","25271848","25272115","16","24677639"
"KN294161v1","596167","596463","chr7","25273811","25274111","16","24677644"
"KN294161v1","702711","703019","chr7","25372787","25373086","19","24670076"
"KN294161v1","711807","712096","chr7","25381579","25381877","23","24669772"
"KN294161v1","820957","821249","chr7","25483764","25484071","24","24662807"
"KN294161v1","832791","833098","chr2","8962402","8962711","41","8129611"
"KN294161v1","868773","869041","chr7","25530493","25530761","15","24661720"
"KN294161v1","884647","884923","chr7","25546363","25546638","15","24661716"
"KN294161v1","906433","906741","chr7","25568094","25568383","25","24661661"
"KN294161v1","923202","923508","chr7","25584394","25584700","13","24661192"
"KN294161v1","960251","960547","chr7","25621169","25621476","30","24660918"
"KN294166v1","8696","8994","chr21","80190797","80191084","24","80182101"
"KN294167v1","54463","54754","chr1","48296397","48296689","8","48241934"
"KN294167v1","162811","163079","chr2","32013101","32013366","39","31850290"
"KN294167v1","228727","229020","chr1","48137661","48137952","13","47908934"
"KN294167v1","446859","447150","chr1","47918233","47918523","11","47471374"
"KN294167v1","450316","450601","chr1","47915111","47915391","21","47464795"
"KN294167v1","486197","486467","chr26","38880198","38880469","34","38394001"
"KN294167v1","486734","487035","chr1","47877954","47878248","22","47391220"
"KN294167v1","487036","487316","chr1","47877664","47877953","19","47390628"
"KN294169v1","9731","9964","chr11","43387337","43387572","26","43377606"
"KN294169v1","85220","85524","chrX_KE148108v1_random","1666749","1667043","26","1581529"
"KN294170v1","80212","80515","chr26","27600700","27601006","18","27520488"
"KN294170v1","259055","259363","chr26","27420204","27420512","15","27161149"
"KN294170v1","343812","344118","chr26","27337151","27337448","23","26993339"
"KN294172v1","94233","94542","chr19","29443228","29443536","23","29348995"
"KN294172v1","134485","134776","chr8","57329091","57329387","42","57194606"
"KN294172v1","185125","185433","chr19","29346310","29346608","33","29161185"
"KN294172v1","239482","239776","chr19","29292042","29292343","14","29052560"
"KN294172v1","332230","332528","chr19","29200088","29200387","27","28867858"
"KN294172v1","364571","364853","chr19","29164645","29164926","21","28800074"
"KN294172v1","465004","465294","chr17","36135220","36135517","39","35670216"
"KN294172v1","479357","479608","chr23","81850206","81850463","28","81370849"
"KN294172v1","515389","515688","chr19","29004426","29004720","21","28489037"
"KN294172v1","566363","566660","chr19","28953004","28953300","7","28386641"
"KN294172v1","577668","577941","chr19","28941936","28942208","10","28364268"
"KN294172v1","594695","594933","chr11","95499517","95499763","54","94904822"
"KN294172v1","600503","600814","chr19","28921749","28922047","35","28321246"
"KN294172v1","602870","603180","chr19","28919964","28920276","13","28317094"
"KN294172v1","610582","610729","chr1","89537065","89537180","59","88926483"
