"KN294146v1","2891","3196","chrX","95217151","95217455","38","95214260"
"KN294147v1","9352","9636","chr2","122135248","122135513","31","122125896"
"KN294147v1","121436","121741","chr2","122255245","122255550","10","122133809"
"KN294147v1","126774","127032","chr2","122260261","122260519","7","122133487"
"KN294147v1","190661","190978","chr2","122330266","122330573","20","122139605"
"KN294147v1","208206","208476","chr2","122346505","122346776","9","122138299"
"KN294147v1","253020","253321","chr2","122391884","122392184","14","122138864"
"KN294147v1","537619","537938","chr2","122676850","122677169","14","122139231"
"KN294147v1","817890","818034","chr5","127956411","127956568","42","127138521"
"KN294147v1","894988","895278","chr2","123019050","123019376","39","122124062"
"KN294147v1","949157","949447","chr2","123072946","123073235","12","122123789"
"KN294147v1","1045692","1045980","chr2","123178427","123178702","26","122132735"
"KN294147v1","1046282","1046576","chr2","123179004","123179303","14","122132722"
"KN294147v1","1102897","1103195","chr2","123241686","123241981","15","122138789"
"KN294147v1","1222962","1223257","chr2","123359126","123359427","11","122136164"
"KN294147v1","1232105","1232412","chr2","123368930","123369237","12","122136825"
"KN294147v1","1239045","1239331","chr2","123375975","123376231","36","122136930"
"KN294147v1","1274985","1275253","chr2","123405769","123406045","19","122130784"
"KN294147v1","1369055","1369331","chr2","123498337","123498614","9","122129282"
"KN294147v1","1382992","1383293","chr2","123512712","123513012","7","122129720"
"KN294147v1","1392688","1392942","chr2","123521223","123521506","39","122128535"
"KN294147v1","1424508","1424811","chr2","123555768","123556057","28","122131260"
"KN294147v1","1427416","1427732","chr2","123558872","123559159","39","122131456"
"KN294147v1","1525612","1525917","chr7","44483987","44484293","48","42958375"
"KN294147v1","1528393","1528688","chr2","123700751","123701042","17","122172358"
"KN294147v1","1547612","1547925","chr2","123719894","123720207","10","122172282"
"KN294147v1","1608784","1609092","chr2","123787019","123787336","29","122178235"
"KN294147v1","1829891","1830061","chr2","124012390","124012564","8","122182499"
"KN294147v1","1850645","1850788","chr2","124031379","124031508","17","122180734"
"KN294147v1","1985063","1985203","chr2","124161687","124161840","20","122176624"
"KN294151v1","35300","35551","chr17","12113947","12114199","49","12078647"
"KN294152v1","86598","86901","chr14","83481726","83482006","41","83395128"
